Club,Last_Name,First_Name,Position,Salary,Guaranteed_Comp
FC Dallas,Acosta,Kellyn,M,55000.00,79000.00
Vancouver Whitecaps,Adekugbe,Samuel,D,50000.00,55000.00
Portland Timbers,Adi,Fanendo,F,580800.00,593300.00
Colorado Rapids,Agbossoumonde,Gale,D,48825.00,55491.67
FC Dallas,Akindele,Tesho,F,48500.00,48500.00
New England Revolution,Akpan,Andre,F,48500.00,51333.33
Vancouver Whitecaps,Alderson,Bryce,M,100000.00,115000.00
Chicago Fire,Alex,,M,123750.00,133700.00
New York Red Bulls,Alexander,Eric,M,115000.00,128750.00
Portland Timbers,Alhassan,Kalif,M,120000.00,120000.00
Real Salt Lake,Allen,Jordan,M/F,80000.00,90000.00
Seattle Sounders FC,Alonso,Osvaldo,M,400000.00,400000.00
New England Revolution,Alston,Kevin,D,125000.00,143333.33
Colorado Rapids,Alvarez,Carlos,M,73150.00,108150.00
Orlando City SC,Alvarez,Yordany,M,48500.00,56000.00
Chicago Fire,Amarikwa,Quincy,F,60000.00,60000.00
Chicago Fire,Anangono,Juan Luis,F,175000.00,175000.00
Seattle Sounders FC,Anibaba,Jalil,D,119620.00,159620.00
Columbus Crew,Anor,Bernardo,M,48825.00,48825.00
Seattle Sounders FC,Apam,Onyekachi,D,60000.00,60000.00
Toronto FC,Aparicio,Manuel,M,36504.00,36504.00
Houston Dynamo,Arena,Anthony,D,36504.00,36504.00
Colorado Rapids,Armstrong,David,M,36504.00,36504.00
DC United,Arnaud,Davy,M,212500.00,212500.00
Columbus Crew,Arrieta,Jairo,F,135000.00,135000.00
Houston Dynamo,Ashe,Corey,M,165000.00,174750.00
DC United,Attakora,Nana,D,62500.00,65575.52
Real Salt Lake,Attinella,Jeff,GK,48825.00,48825.00
Chivas USA,Avila,Eric,M,115000.00,135000.00
Seattle Sounders FC,Azira,Michael,D,48504.00,51147.54
Columbus Crew,Baiden,Kingsley,M,36504.00,36504.00
Real Salt Lake,Balchan,Rich,D,48500.00,48500.00
Vancouver Whitecaps,Ballouchy,Mehdi,M,65000.00,65000.00
San Jose Earthquakes,Barklage,Brandon,M,65000.00,68415.21
Houston Dynamo,Barnes,Giles,M,230000.00,241158.33
New England Revolution,Barnes,Darrius,D,80000.00,86666.67
Chivas USA,Barrera,Leandro,F,50000.00,50000.00
Seattle Sounders FC,Barrett,Chad,F,80000.00,85000.00
Columbus Crew,Barson,Chad,D,48825.00,48825.00
Houston Dynamo,Beasley,DaMarcus,D,750000.00,779166.67
Real Salt Lake,Beckerman,Kyle,M,350000.00,378750.00
Columbus Crew,Bedell,Adam,F,36504.00,36504.00
Vancouver Whitecaps,Beitashour,Steven,D,170000.00,177166.67
Toronto FC,Bekker,Kyle,M,51150.00,77400.00
Montreal Impact,Beland-Goyette,Louis,M,36504.00,36504.00
Real Salt Lake,Beltran,Anthony,D,186450.00,186450.00
Toronto FC,Bendik,Joe,GK,140000.00,147375.00
New England Revolution,Bengtson,Jerry,F,144000.00,144000.00
FC Dallas,Benitez,Jair,D,97875.00,97875.00
San Jose Earthquakes,Bernardez,Victor,D,100008.00,141608.00
Colorado Rapids,Berner,John,GK,36500.00,36500.00
Montreal Impact,Bernier,Patrice,F-M,165000.00,205000.00
Philadelphia Union,Berry,Austin,D,86994.00,101994.00
Sporting Kansas City,Besler,Matt,D,600000.00,633250.00
Sporting Kansas City,Bieler,Claudio,F,225000.00,225000.00
San Jose Earthquakes,Bingham,David,GK,85910.00,130285.00
DC United,Birnbaum,Steven,D,55000.00,85000.00
Montreal Impact,Bissue,James,F,48500.00,48500.00
New York Red Bulls,Bitolo,Ambroise,D,36500.00,36500.00
Philadelphia Union,Blake,Andre,GK,75000.00,113000.00
Toronto FC,Bloom,Mark,D,48825.00,48825.00
Chivas USA,Bocanegra,Carlos,D,300000.00,333333.33
Chivas USA,Bolanos,Luis,F,48504.00,48504.00
Philadelphia Union,Bone,Corben,M,48825.00,51325.00
Houston Dynamo,Boniek Garcia,Oscar,F,199992.00,258742.00
Real Salt Lake,Borchers,Nat,D,225000.00,236968.75
Chivas USA,Borja,Felix,F,48504.00,48504.00
POOL,Borja,Carlos,D,52313.00,52313.00
DC United,Boswell,Bobby,D,189666.60,189666.60
New York Red Bulls,Bover,Ruben,M,36500.00,36500.00
Seattle Sounders FC,Bowen,Tristan,F,65000.00,70000.00
Toronto FC,Bradley,Michael,M,6000000.00,6500000.00
New York City FC,Brovsky,Jeb,M,115000.00,119000.00
Colorado Rapids,Brown,Deshorn,F,75000.00,123000.00
Philadelphia Union,Brown,Brian,F,48504.00,53004.00
Houston Dynamo,Bruin,Will,F,127500.00,172500.00
Houston Dynamo,Brunner,Eric,D,130000.00,130625.00
Colorado Rapids,Buddle,Edson,F,325000.00,325000.00
New England Revolution,Bunbury,Teal,F,135000.00,233000.00
Colorado Rapids,Burch,Marc,D,85000.00,85000.00
Chivas USA,Burling,Bobby,D,115000.00,122500.00
San Jose Earthquakes,Busch,Jon,GK,173250.00,184583.33
Montreal Impact,Bush,Evan,GK,48825.00,48825.00
New York Red Bulls,Bustamante,Michael,M-D,48825.00,48825.00
FC Dallas,Cabrera,Walter,D,84000.00,96000.00
New York Red Bulls,Cahill,Tim,M,3500000.00,3625000.00
New England Revolution,Caldwell,Scott,M,52313.00,59813.00
Toronto FC,Caldwell,Steven,D,325000.00,364166.67
Chivas USA,Calvert,Caleb,F,55000.00,62500.00
Montreal Impact,Camara,Hassoun,D/M,215000.00,226625.00
Vancouver Whitecaps,Carducci,Marco,GK,36504.00,36504.00
Houston Dynamo,Carrasco,Servando,M,48825.00,48825.00
Philadelphia Union,Carreiro,Fred,M,65460.00,65460.00
Philadelphia Union,Carroll,Brian,M,185220.00,185220.00
Houston Dynamo,Cascio,Tony,M,71390.00,105140.00
Philadelphia Union,Casey,Conor,F,192500.00,192500.00
DC United,Caskey,Alex,M,48825.00,48825.00
New York Red Bulls,Castano,Santiago,GK,36500.00,36500.00
New England Revolution,Castillion,Geoffrey,F,276000.00,329033.33
FC Dallas,Castillo,Fabian,F,70000.00,76250.00
